"統計名：","人口動態調査 人口動態統計 確定数 死亡"
"表番号：","7"
"表題：","[中巻] 15歳以上の死亡数，年齢（５歳階級）・性・配偶関係別"
"実施年月：","2024年","-"

"***","調査又は集計していないもの"
"-","計数のない場合"
"…","計数不明の場合"
"・","統計項目のありえない場合"

"","","","","","","","","","/配偶関係 コード","00100","00160","00170","00180","00190","00200","00210","00220","00230","00240","00250","00260","00270"
"","","","","","","","","","/配偶関係 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","年齢(5歳階級) コード","年齢(5歳階級) 補助コード","年齢(5歳階級)","/配偶関係","総数","男_総数","男_有配偶","男_未婚","男_死別","男_離別","男_不詳","女_総数","女_有配偶","女_未婚","女_死別","女_離別","女_不詳"
"10100","","死亡数【人】","2023000000","","2023年","00370","","70～74歳","","133,733","91,540","52,715","17,986","6,152","14,558","129","42,193","22,207","4,144","9,362","6,445","35"
"10100","","死亡数【人】","2023000000","","2023年","00380","","75～79歳","","178,252","115,354","75,643","12,750","12,452","14,372","137","62,898","28,604","4,621","21,665","7,971","37"
"10100","","死亡数【人】","2023000000","","2023年","00400","","80～84歳","","248,066","145,769","101,390","8,447","24,395","11,443","94","102,297","34,443","5,576","52,855","9,371","52"
"10100","","死亡数【人】","2023000000","","2023年","00410","","85～89歳","","320,874","159,670","106,536","4,383","41,680","7,012","59","161,204","30,313","7,538","113,498","9,794","61"
"10100","","死亡数【人】","2023000000","","2023年","00420","","90～94歳","","300,934","113,161","63,121","1,563","45,868","2,571","38","187,773","14,160","8,347","157,010","8,189","67"
"10100","","死亡数【人】","2023000000","","2023年","00430","","95～99歳","","158,124","39,601","15,020","352","23,717","500","12","118,523","2,408","5,023","106,395","4,659","38"
"10100","","死亡数【人】","2023000000","","2023年","00440","","100歳以上","","39,948","5,330","1,079","34","4,163","54","-","34,618","149","1,231","32,110","1,114","14"
"10100","","死亡数【人】","2022000000","","2022年","00100","","総数","","1,566,032","797,679","470,585","90,864","161,705","73,759","766","768,353","164,550","51,658","495,173","56,566","406"
"10100","","死亡数【人】","2022000000","","2022年","00220","","15～19歳","","1,265","777","1","774","-","2","-","488","2","485","-","-","1"
"10100","","死亡数【人】","2022000000","","2022年","00230","","20～24歳","","2,146","1,401","39","1,338","-","22","2","745","27","702","-","15","1"
"10100","","死亡数【人】","2022000000","","2022年","00240","","25～29歳","","2,257","1,451","141","1,247","-","62","1","806","135","615","1","53","2"
"10100","","死亡数【人】","2022000000","","2022年","00250","","30～34歳","","2,819","1,797","371","1,273","6","146","1","1,022","305","613","3","100","1"
"10100","","死亡数【人】","2022000000","","2022年","00260","","35～39歳","","4,414","2,754","778","1,646","8","317","5","1,660","625","773","14","244","4"
"10100","","死亡数【人】","2022000000","","2022年","00280","","40～44歳","","7,271","4,550","1,330","2,429","19","767","5","2,721","1,250","1,009","19","441","2"
"10100","","死亡数【人】","2022000000","","2022年","00300","","45～49歳","","13,844","8,672","2,770","4,288","49","1,545","20","5,172","2,517","1,677","66","909","3"
"10100","","死亡数【人】","2022000000","","2022年","00320","","50～54歳","","21,801","14,069","4,798","6,200","150","2,888","33","7,732","3,881","2,189","206","1,449","7"
"10100","","死亡数【人】","2022000000","","2022年","00340","","55～59歳","","28,642","19,156","7,414","7,219","272","4,204","47","9,486","5,160","2,149","377","1,787","13"
"10100","","死亡数【人】","2022000000","","2022年","00350","","60～64歳","","41,973","28,869","13,052","9,094","700","5,952","71","13,104","7,532","2,258","1,007","2,297","10"
"10100","","死亡数【人】","2022000000","","2022年","00360","","65～69歳","","68,705","47,837","24,661","12,407","1,966","8,711","92","20,868","12,142","2,517","2,861","3,333","15"
"10100","","死亡数【人】","2022000000","","2022年","00370","","70～74歳","","141,338","97,014","56,975","18,119","6,873","14,911","136","44,324","23,591","4,264","9,907","6,531","31"
"10100","","死亡数【人】","2022000000","","2022年","00380","","75～79歳","","170,192","109,955","73,045","11,409","12,263","13,126","112","60,237","27,392","4,283","21,272","7,251","39"
"10100","","死亡数【人】","2022000000","","2022年","00400","","80～84歳","","247,487","144,728","100,986","7,700","24,588","11,346","108","102,759","33,807","5,696","54,228","8,977","51"
"10100","","死亡数【人】","2022000000","","2022年","00410","","85～89歳","","320,647","159,604","106,830","3,956","41,999","6,740","79","161,043","29,848","7,818","113,762","9,537","78"
"10100","","死亡数【人】","2022000000","","2022年","00420","","90～94歳","","295,883","110,745","61,634","1,388","45,196","2,482","45","185,138","13,922","8,454","154,642","8,036","84"
"10100","","死亡数【人】","2022000000","","2022年","00430","","95～99歳","","155,165","38,692","14,636","337","23,224","489","6","116,473","2,299","4,968","104,632","4,530","44"
"10100","","死亡数【人】","2022000000","","2022年","00440","","100歳以上","","40,183","5,608","1,124","40","4,392","49","3","34,575","115","1,188","32,176","1,076","20"
"10100","","死亡数【人】","2021000000","","2021年","00100","","総数","","1,436,775","736,360","440,368","82,625","145,980","66,841","546","700,415","153,717","46,383","449,103","50,907","305"
"10100","","死亡数【人】","2021000000","","2021年","00220","","15～19歳","","1,204","756","1","754","-","1","-","448","3","441","-","3","1"
"10100","","死亡数【人】","2021000000","","2021年","00230","","20～24歳","","2,183","1,440","31","1,391","-","16","2","743","29","693","1","20","-"
"10100","","死亡数【人】","2021000000","","2021年","00240","","25～29歳","","2,322","1,527","158","1,301","-","66","2","795","117","620","1","55","2"
"10100","","死亡数【人】","2021000000","","2021年","00250","","30～34歳","","2,863","1,838","395","1,286","1","149","7","1,025","306","599","1","118","1"
"10100","","死亡数【人】","2021000000","","2021年","00260","","35～39歳","","4,293","2,772","729","1,681","4","350","8","1,521","622","686","9","203","1"
"10100","","死亡数【人】","2021000000","","2021年","00280","","40～44歳","","7,154","4,443","1,354","2,375","29","677","8","2,711","1,292","999","22","396","2"
"10100","","死亡数【人】","2021000000","","2021年","00300","","45～49歳","","13,677","8,712","2,879","4,203","62","1,556","12","4,965","2,390","1,571","57","944","3"
"10100","","死亡数【人】","2021000000","","2021年","00320","","50～54歳","","20,948","13,500","4,558","5,999","125","2,789","29","7,448","3,901","2,003","169","1,368","7"
"10100","","死亡数【人】","2021000000","","2021年","00340","","55～59歳","","27,795","18,666","7,405","6,819","273","4,136","33","9,129","5,077","1,912","398","1,731","11"
"10100","","死亡数【人】","2021000000","","2021年","00350","","60～64歳","","40,094","27,722","12,826","8,467","683","5,692","54","12,372","7,254","1,879","1,103","2,126","10"
"10100","","死亡数【人】","2021000000","","2021年","00360","","65～69歳","","69,526","48,357","25,628","11,958","2,066","8,622","83","21,169","12,431","2,387","2,968","3,366","17"
"10100","","死亡数【人】","2021000000","","2021年","00370","","70～74歳","","135,816","93,053","56,482","15,726","6,504","14,233","108","42,763","22,877","3,866","9,719","6,269","32"
"10100","","死亡数【人】","2021000000","","2021年","00380","","75～79歳","","158,871","102,248","70,074","9,389","11,559","11,149","77","56,623","25,641","3,692","20,749","6,511","30"
"10100","","死亡数【人】","2021000000","","2021年","00400","","80～84歳","","225,185","132,093","93,531","6,353","22,717","9,437","55","93,092","30,551","5,059","49,875","7,559","48"
"10100","","死亡数【人】","2021000000","","2021年","00410","","85～89歳","","292,364","144,427","97,107","3,417","38,262","5,604","37","147,937","27,092","7,201","105,398","8,206","40"
"10100","","死亡数【人】","2021000000","","2021年","00420","","90～94歳","","264,183","97,726","54,152","1,221","40,457","1,872","24","166,457","12,062","7,690","139,452","7,204","49"
"10100","","死亡数【人】","2021000000","","2021年","00430","","95～99歳","","134,035","32,293","12,045","254","19,543","444","7","101,742","1,959","4,167","91,670","3,908","38"
"10100","","死亡数【人】","2021000000","","2021年","00440","","100歳以上","","34,262","4,787","1,013","31","3,695","48","-","29,475","113","918","27,511","920","13"
"10100","","死亡数【人】","2020000000","","2020年","00100","","総数","","1,369,606","705,027","425,560","78,090","137,610","63,132","635","664,579","148,764","44,552","423,304","47,635","324"
"10100","","死亡数【人】","2020000000","","2020年","00220","","15～19歳","","1,262","816","3","812","-","1","-","446","1","442","-","2","1"
"10100","","死亡数【人】","2020000000","","2020年","00230","","20～24歳","","2,180","1,485","38","1,426","1","18","2","695","30","647","1","17","-"
"10100","","死亡数【人】","2020000000","","2020年","00240","","25～29歳","","2,248","1,491","146","1,262","3","78","2","757","109","591","2","55","-"
"10100","","死亡数【人】","2020000000","","2020年","00250","","30～34歳","","2,902","1,961","400","1,382","4","168","7","941","288","538","5","109","1"
"10100","","死亡数【人】","2020000000","","2020年","00260","","35～39歳","","4,396","2,763","752","1,651","8","345","7","1,633","666","732","8","225","2"
"10100","","死亡数【人】","2020000000","","2020年","00280","","40～44歳","","7,678","4,820","1,485","2,548","20","761","6","2,858","1,312","1,042","26","477","1"
"10100","","死亡数【人】","2020000000","","2020年","00300","","45～49歳","","14,111","8,894","2,916","4,265","48","1,648","17","5,217","2,584","1,536","71","1,022","4"
"10100","","死亡数【人】","2020000000","","2020年","00320","","50～54歳","","19,812","12,687","4,460","5,378","118","2,698","33","7,125","3,790","1,789","185","1,356","5"
"10100","","死亡数【人】","2020000000","","2020年","00340","","55～59歳","","27,521","18,494","7,518","6,619","263","4,040","54","9,027","5,135","1,776","448","1,659","9"
"10100","","死亡数【人】","2020000000","","2020年","00350","","60～64歳","","40,514","28,046","13,364","8,362","718","5,549","53","12,468","7,411","1,829","1,094","2,121","13"
"10100","","死亡数【人】","2020000000","","2020年","00360","","65～69歳","","72,970","50,969","27,474","12,123","2,355","8,932","85","22,001","12,945","2,438","3,153","3,448","17"
"10100","","死亡数【人】","2020000000","","2020年","00370","","70～74歳","","124,099","84,888","52,446","13,579","5,996","12,748","119","39,211","21,125","3,422","8,952","5,688","24"
"10100","","死亡数【人】","2020000000","","2020年","00380","","75～79歳","","162,136","104,378","72,382","8,876","11,965","11,048","107","57,758","26,035","3,904","21,399","6,392","28"
"10100","","死亡数【人】","2020000000","","2020年","00400","","80～84歳","","216,526","125,875","89,930","5,607","21,914","8,358","66","90,651","29,205","4,860","49,688","6,856","42"
"10100","","死亡数【人】","2020000000","","2020年","00410","","85～89歳","","276,507","135,859","91,389","2,926","36,859","4,649","36","140,648","25,350","7,183","100,685","7,370","60"
"10100","","死亡数【人】","2020000000","","2020年","00420","","90～94歳","","245,216","89,912","49,586","1,026","37,579","1,691","30","155,304","11,003","7,309","130,326","6,597","69"
"10100","","死亡数【人】","2020000000","","2020年","00430","","95～99歳","","119,379","27,471","10,373","223","16,505","360","10","91,908","1,683","3,680","83,006","3,501","38"
"10100","","死亡数【人】","2020000000","","2020年","00440","","100歳以上","","30,149","4,218","898","25","3,254","40","1","25,931","92","834","24,255","740","10"
"10100","","死亡数【人】","2019000000","","2019年","00100","","総数","","1,377,485","705,388","427,986","75,925","139,128","61,688","661","672,097","148,782","45,087","430,902","46,970","356"
"10100","","死亡数【人】","2019000000","","2019年","00220","","15～19歳","","1,177","771","-","771","-","-","-","406","-","405","-","1","-"
"10100","","死亡数【人】","2019000000","","2019年","00230","","20～24歳","","2,042","1,430","49","1,359","-","20","2","612","31","565","1","15","-"
"10100","","死亡数【人】","2019000000","","2019年","00240","","25～29歳","","2,055","1,372","149","1,173","1","45","4","683","121","509","3","49","1"
"10100","","死亡数【人】","2019000000","","2019年","00250","","30～34歳","","2,978","1,961","371","1,402","9","172","7","1,017","289","602","4","119","3"
"10100","","死亡数【人】","2019000000","","2019年","00260","","35～39歳","","4,477","2,851","804","1,680","13","349","5","1,626","703","674","9","238","2"
"10100","","死亡数【人】","2019000000","","2019年","00280","","40～44歳","","7,813","4,889","1,534","2,522","24","787","22","2,924","1,374","1,033","33","481","3"
"10100","","死亡数【人】","2019000000","","2019年","00300","","45～49歳","","14,024","8,802","2,926","4,129","69","1,655","23","5,222","2,615","1,567","95","941","4"
"10100","","死亡数【人】","2019000000","","2019年","00320","","50～54歳","","19,545","12,646","4,609","5,293","149","2,564","31","6,899","3,697","1,693","184","1,310","15"
"10100","","死亡数【人】","2019000000","","2019年","00340","","55～59歳","","27,390","18,274","7,646","6,394","304","3,877","53","9,116","5,332","1,727","440","1,610","7"
