year,sex,age,from_state,to_state,value
2018,male,80+,S,M,13.0
2018,female,15-19,S,M,7080.0
2018,female,20-24,S,M,68974.0
2018,female,25-29,S,M,160556.0
2018,female,30-34,S,M,86582.0
2018,female,35-39,S,M,38874.0
2018,female,40-44,S,M,14168.0
2018,female,45-49,S,M,4374.0
2018,female,50-54,S,M,1343.0
2018,female,55-59,S,M,474.0
2018,female,60-64,S,M,198.0
2018,female,65-69,S,M,104.0
2018,female,70-74,S,M,68.0
2018,female,75-79,S,M,19.0
2018,female,80+,S,M,9.0
2017,male,15-19,S,M,4481.0
2017,male,20-24,S,M,50103.0
2017,male,25-29,S,M,146002.0
2017,male,30-34,S,M,100216.0
2017,male,35-39,S,M,51212.0
2017,male,40-44,S,M,24888.0
2017,male,45-49,S,M,9470.0
2017,male,50-54,S,M,3096.0
2017,male,55-59,S,M,1242.0
2017,male,60-64,S,M,595.0
2017,male,65-69,S,M,311.0
2017,male,70-74,S,M,86.0
2017,male,75-79,S,M,37.0
2017,male,80+,S,M,10.0
2017,female,15-19,S,M,8063.0
2017,female,20-24,S,M,72633.0
2017,female,25-29,S,M,168675.0
2017,female,30-34,S,M,92590.0
2017,female,35-39,S,M,41148.0
2017,female,40-44,S,M,14841.0
2017,female,45-49,S,M,4242.0
2017,female,50-54,S,M,1264.0
2017,female,55-59,S,M,410.0
2017,female,60-64,S,M,180.0
2017,female,65-69,S,M,112.0
2017,female,70-74,S,M,44.0
2017,female,75-79,S,M,21.0
2017,female,80+,S,M,11.0
2016,male,15-19,S,M,4877.0
2016,male,20-24,S,M,50212.0
2016,male,25-29,S,M,150197.0
2016,male,30-34,S,M,105303.0
2016,male,35-39,S,M,53970.0
2016,male,40-44,S,M,26061.0
2016,male,45-49,S,M,9244.0
2016,male,50-54,S,M,3043.0
2016,male,55-59,S,M,1206.0
2016,male,60-64,S,M,594.0
2016,male,65-69,S,M,333.0
2016,male,70-74,S,M,72.0
2016,male,75-79,S,M,27.0
2016,male,80+,S,M,12.0
2016,female,15-19,S,M,8832.0
2016,female,20-24,S,M,73407.0
2016,female,25-29,S,M,174108.0
2016,female,30-34,S,M,97033.0
2016,female,35-39,S,M,43533.0
2016,female,40-44,S,M,15147.0
2016,female,45-49,S,M,4025.0
2016,female,50-54,S,M,1191.0
2016,female,55-59,S,M,404.0
2016,female,60-64,S,M,176.0
2016,female,65-69,S,M,98.0
2016,female,70-74,S,M,39.0
2016,female,75-79,S,M,10.0
2016,female,80+,S,M,15.0
2015,male,15-19,S,M,5179.0
2015,male,20-24,S,M,50974.0
2015,male,25-29,S,M,154920.0
2015,male,30-34,S,M,109715.0
2015,male,35-39,S,M,57063.0
2015,male,40-44,S,M,26762.0
2015,male,45-49,S,M,8798.0
2015,male,50-54,S,M,2950.0
2015,male,55-59,S,M,1185.0
2015,male,60-64,S,M,637.0
2015,male,65-69,S,M,278.0
2015,male,70-74,S,M,70.0
2015,male,75-79,S,M,26.0
2015,male,80+,S,M,8.0
2015,female,15-19,S,M,9399.0
2015,female,20-24,S,M,74923.0
2015,female,25-29,S,M,179062.0
2015,female,30-34,S,M,101820.0
2015,female,35-39,S,M,46304.0
2015,female,40-44,S,M,15359.0
2015,female,45-49,S,M,3814.0
2015,female,50-54,S,M,1169.0
2015,female,55-59,S,M,372.0
2015,female,60-64,S,M,158.0
2015,female,65-69,S,M,108.0
2015,female,70-74,S,M,41.0
2015,female,75-79,S,M,20.0
2015,female,80+,S,M,6.0
