age_start,age_band,live_S,live_M,live_W,live_V,death_S,death_M,death_W,death_V,alive_total,dead_total
15,15-19,100000.0,0.0,0.0,0.0,139.98078799507462,0.48453953530357097,0.0,0.08976953478738492,100000.0,0.0
20,20-24,99352.67505058929,460.57780315510894,0.0,46.19204919044608,235.91845074592138,5.913398936656662,0.007485920638791503,4.231660563893642,99859.44490293483,140.5550970651656
25,25-29,91978.15545591927,6917.032972744857,2.934241706411957,715.2512363971933,219.41806511176037,18.928390701015875,0.11901966526004287,14.362965354186333,99613.37390676774,386.62609323227605
30,30-34,70283.06386898538,27633.56160970018,11.74524597989449,1432.1747412700593,255.86623597951325,46.3216784129768,0.31835086266735263,20.62476502809056,99360.54546593552,639.4545340644986
35,35-39,55567.05246027944,41542.348516662474,35.22620687180006,1892.787251838549,300.4786015298057,78.64686020579128,0.6554195368854985,30.233924934826426,99037.41443565227,962.5855643477465
40,40-44,48023.96577402606,48165.64125026776,82.92093278339495,2354.871672367729,431.0748661366308,136.84018315379012,1.5628653167162962,53.52962143723188,98627.39962944496,1372.6003705550554
45,45-49,44478.425754549855,50434.632311911446,164.12895559824534,2927.2050713410326,632.290185824832,234.02837890706235,3.243107001935562,94.53424299206372,98004.39209340057,1995.6079065994245
50,50-54,42589.41249598479,50563.496531205376,312.821807707147,3574.5653437773785,980.3692491813354,396.5481072962731,9.063071672739193,165.5544078979127,97040.29617867469,2959.703821325318
55,55-59,41091.51474207571,49820.64098080306,537.9465805534157,4038.659039194248,1582.9701558774577,689.7829011336033,20.271486883194914,265.8813673945248,95488.76134262643,4511.2386573735785
60,60-64,39240.69044288616,48666.34579580309,865.2902052376019,4157.528987410797,2511.4548171001034,1209.0848935721335,51.198339824040914,382.5302598193409,92929.85543133765,7070.14456866236
65,65-69,36563.146829582234,46888.04956067307,1319.9900355343796,4004.400695232349,3700.6499132702374,2084.0164754330935,131.56727587906983,552.1229037542403,88775.58712102204,11224.412878977977
70,70-74,32784.655975300375,43946.90649254994,1993.9438003593832,3581.7242844756947,5016.926257501729,3299.2794758938307,286.43759919588547,717.5340451421994,82307.23055268539,17692.76944731462
75,75-79,27723.394262249618,39468.36154780324,2851.286387600132,2944.010977298757,6598.021121475862,5158.385831141566,679.2289575079428,880.5832658297531,72987.05317495175,27012.946825048264
80,80+,21090.435444434257,32646.802672089245,3826.3252602914035,2107.27062218171,8360.299323291314,10168.196141273074,2772.2347810839715,1057.569542076932,59670.83399899661,40329.16600100339
85,80+,12715.643912669817,19187.541354718414,4351.452245957279,1057.896697925816,5040.511822450826,5976.300296709305,2634.3017526204244,531.6503597521933,37312.534211271326,62687.46578872868
90,80+,7666.394586295095,11277.679218584084,3652.923412232041,532.7727626273576,3038.9772482768385,3512.715989487777,2071.8615532156527,268.16661552873666,23129.76997973858,76870.23002026143
95,80+,4622.149405600526,6628.918073582045,2717.6963242632964,269.2847697837088,1832.2311385937355,2064.7921794710346,1490.5217730483964,135.78347626304458,14238.048573229575,85761.95142677044
100,80+,2786.742175505202,3896.6229955044387,1894.688145575105,136.66668926862113,1104.6712992458342,1213.7590835437586,1018.1977169529109,69.05077471575169,8714.720005853365,91285.27999414665
105,80+,1680.1559775046883,2290.6404622497016,1268.563360174007,69.68133146672139,666.0178695107606,713.5285174799428,672.5236077436948,35.285414287865024,5309.041131395119,94690.9588686049
110,80+,1012.983595525113,1346.62910859121,826.3620253262661,35.710992930269896,401.54913304118963,419.48121531856305,433.88731018771614,18.128296613587736,3221.6857223728593,96778.31427762716
115,80+,610.7383948524638,791.7009278479774,527.7948934020947,18.405551109264195,242.09816827374016,246.62411349437025,275.14648578536617,9.368748182529998,1948.6397672118,98051.36023278823
