year,sex,age,from_state,to_state,value
2021,female,45-49,W,M,275.0
2021,female,50-54,W,M,260.0
2021,female,55-59,W,M,208.0
2021,female,60-64,W,M,182.0
2021,female,65-69,W,M,137.0
2021,female,70-74,W,M,90.0
2021,female,75-79,W,M,59.0
2021,female,80+,W,M,22.0
2020,female,15-19,W,M,0.0
2020,female,20-24,W,M,9.0
2020,female,25-29,W,M,55.0
2020,female,30-34,W,M,167.0
2020,female,35-39,W,M,247.0
2020,female,40-44,W,M,278.0
2020,female,45-49,W,M,252.0
2020,female,50-54,W,M,289.0
2020,female,55-59,W,M,232.0
2020,female,60-64,W,M,151.0
2020,female,65-69,W,M,152.0
2020,female,70-74,W,M,102.0
2020,female,75-79,W,M,53.0
2020,female,80+,W,M,29.0
2019,female,15-19,W,M,0.0
2019,female,20-24,W,M,21.0
2019,female,25-29,W,M,76.0
2019,female,30-34,W,M,190.0
2019,female,35-39,W,M,299.0
2019,female,40-44,W,M,335.0
2019,female,45-49,W,M,320.0
2019,female,50-54,W,M,354.0
2019,female,55-59,W,M,277.0
2019,female,60-64,W,M,219.0
2019,female,65-69,W,M,173.0
2019,female,70-74,W,M,110.0
2019,female,75-79,W,M,74.0
2019,female,80+,W,M,31.0
2018,female,15-19,W,M,0.0
2018,female,20-24,W,M,12.0
2018,female,25-29,W,M,73.0
2018,female,30-34,W,M,203.0
2018,female,35-39,W,M,333.0
2018,female,40-44,W,M,342.0
2018,female,45-49,W,M,314.0
2018,female,50-54,W,M,283.0
2018,female,55-59,W,M,225.0
2018,female,60-64,W,M,207.0
2018,female,65-69,W,M,173.0
2018,female,70-74,W,M,98.0
2018,female,75-79,W,M,53.0
2018,female,80+,W,M,21.0
2017,female,15-19,W,M,1.0
2017,female,20-24,W,M,13.0
2017,female,25-29,W,M,67.0
2017,female,30-34,W,M,205.0
2017,female,35-39,W,M,295.0
2017,female,40-44,W,M,339.0
2017,female,45-49,W,M,335.0
2017,female,50-54,W,M,271.0
2017,female,55-59,W,M,224.0
2017,female,60-64,W,M,188.0
2017,female,65-69,W,M,167.0
2017,female,70-74,W,M,102.0
2017,female,75-79,W,M,43.0
2017,female,80+,W,M,30.0
2016,female,15-19,W,M,1.0
2016,female,20-24,W,M,23.0
2016,female,25-29,W,M,90.0
2016,female,30-34,W,M,200.0
2016,female,35-39,W,M,311.0
2016,female,40-44,W,M,344.0
2016,female,45-49,W,M,324.0
2016,female,50-54,W,M,279.0
2016,female,55-59,W,M,233.0
2016,female,60-64,W,M,186.0
2016,female,65-69,W,M,160.0
2016,female,70-74,W,M,85.0
2016,female,75-79,W,M,39.0
2016,female,80+,W,M,16.0
2015,female,15-19,W,M,0.0
2015,female,20-24,W,M,18.0
2015,female,25-29,W,M,92.0
2015,female,30-34,W,M,243.0
2015,female,35-39,W,M,319.0
2015,female,40-44,W,M,364.0
2015,female,45-49,W,M,325.0
2015,female,50-54,W,M,277.0
2015,female,55-59,W,M,233.0
2015,female,60-64,W,M,224.0
2015,female,65-69,W,M,166.0
2015,female,70-74,W,M,94.0
2015,female,75-79,W,M,52.0
2015,female,80+,W,M,18.0
