year,sex,age,state,value
2023,female,70-74,S,4144.0
2023,female,70-74,W,9362.0
2023,female,70-74,V,6445.0
2023,male,75-79,M,75643.0
2023,male,75-79,S,12750.0
2023,male,75-79,W,12452.0
2023,male,75-79,V,14372.0
2023,female,75-79,M,28604.0
2023,female,75-79,S,4621.0
2023,female,75-79,W,21665.0
2023,female,75-79,V,7971.0
2023,male,80+,M,287146.0
2023,male,80+,S,14779.0
2023,male,80+,W,139823.0
2023,male,80+,V,21580.0
2023,female,80+,M,81473.0
2023,female,80+,S,27715.0
2023,female,80+,W,461868.0
2023,female,80+,V,33127.0
2022,male,15-19,M,1.0
2022,male,15-19,S,774.0
2022,male,15-19,W,0.0
2022,male,15-19,V,2.0
2022,female,15-19,M,2.0
2022,female,15-19,S,485.0
2022,female,15-19,W,0.0
2022,female,15-19,V,0.0
2022,male,20-24,M,39.0
2022,male,20-24,S,1338.0
2022,male,20-24,W,0.0
2022,male,20-24,V,22.0
2022,female,20-24,M,27.0
2022,female,20-24,S,702.0
2022,female,20-24,W,0.0
2022,female,20-24,V,15.0
2022,male,25-29,M,141.0
2022,male,25-29,S,1247.0
2022,male,25-29,W,0.0
2022,male,25-29,V,62.0
2022,female,25-29,M,135.0
2022,female,25-29,S,615.0
2022,female,25-29,W,1.0
2022,female,25-29,V,53.0
2022,male,30-34,M,371.0
2022,male,30-34,S,1273.0
2022,male,30-34,W,6.0
2022,male,30-34,V,146.0
2022,female,30-34,M,305.0
2022,female,30-34,S,613.0
2022,female,30-34,W,3.0
2022,female,30-34,V,100.0
2022,male,35-39,M,778.0
2022,male,35-39,S,1646.0
2022,male,35-39,W,8.0
2022,male,35-39,V,317.0
2022,female,35-39,M,625.0
2022,female,35-39,S,773.0
2022,female,35-39,W,14.0
2022,female,35-39,V,244.0
2022,male,40-44,M,1330.0
2022,male,40-44,S,2429.0
2022,male,40-44,W,19.0
2022,male,40-44,V,767.0
2022,female,40-44,M,1250.0
2022,female,40-44,S,1009.0
2022,female,40-44,W,19.0
2022,female,40-44,V,441.0
2022,male,45-49,M,2770.0
2022,male,45-49,S,4288.0
2022,male,45-49,W,49.0
2022,male,45-49,V,1545.0
2022,female,45-49,M,2517.0
2022,female,45-49,S,1677.0
2022,female,45-49,W,66.0
2022,female,45-49,V,909.0
2022,male,50-54,M,4798.0
2022,male,50-54,S,6200.0
2022,male,50-54,W,150.0
2022,male,50-54,V,2888.0
2022,female,50-54,M,3881.0
2022,female,50-54,S,2189.0
2022,female,50-54,W,206.0
2022,female,50-54,V,1449.0
2022,male,55-59,M,7414.0
2022,male,55-59,S,7219.0
