year,sex,age,state,value
2024,male,15-19,S,0.9977440664499003
2024,male,15-19,M,0.0018532675321468249
2024,male,15-19,W,0.0001234125766622396
2024,male,15-19,V,0.0002792534412905857
2024,male,20-24,S,0.9602731684027705
2024,male,20-24,M,0.037398726643030164
2024,male,20-24,W,0.0002396524954418725
2024,male,20-24,V,0.002088452458757361
2024,male,25-29,S,0.7782379655550149
2024,male,25-29,M,0.2133223351355267
2024,male,25-29,W,0.00026243530717814093
2024,male,25-29,V,0.008177264002280306
2024,male,30-34,S,0.5340983558599401
2024,male,30-34,M,0.44600290903931256
2024,male,30-34,W,0.0003777052834575005
2024,male,30-34,V,0.01952102981728978
2024,male,35-39,S,0.39355488088914925
2024,male,35-39,M,0.5730653202991636
2024,male,35-39,W,0.0008991442222144126
2024,male,35-39,V,0.03248065458947284
2024,male,40-44,S,0.3252654522825136
2024,male,40-44,M,0.6302637777529331
2024,male,40-44,W,0.0017226739529170414
2024,male,40-44,V,0.04274809601163627
2024,male,45-49,S,0.317932551498133
2024,male,45-49,M,0.6234788609687454
2024,male,45-49,W,0.0033154635357799914
2024,male,45-49,V,0.055273123997341626
2024,male,50-54,S,0.302764721422998
2024,male,50-54,M,0.6188915044887122
2024,male,50-54,W,0.005619432392599048
2024,male,50-54,V,0.07272434169569082
2024,male,55-59,S,0.24793630822036358
2024,male,55-59,M,0.6567334409252406
2024,male,55-59,W,0.010073487173981988
2024,male,55-59,V,0.08525676368041393
2024,male,60-64,S,0.19348979212709977
2024,male,60-64,M,0.7024879305483365
2024,male,60-64,W,0.01734747143131877
2024,male,60-64,V,0.08667480589324507
2024,male,65-69,S,0.17157647788312116
2024,male,65-69,M,0.7142699943148795
2024,male,65-69,W,0.03300408175958954
2024,male,65-69,V,0.08114944604240987
2024,male,70-74,S,0.12446223563750217
2024,male,70-74,M,0.745753565342867
2024,male,70-74,W,0.05288681927405932
2024,male,70-74,V,0.07689737974557156
2024,male,75-79,S,0.0645960928479762
2024,male,75-79,M,0.7921955868358458
2024,male,75-79,W,0.08606040038114211
2024,male,75-79,V,0.05714791993503596
2024,male,80+,S,0.027833925331077616
2024,male,80+,M,0.7337955247580197
2024,male,80+,W,0.20685134326683555
2024,male,80+,V,0.03151920664406716
