year,sex,age,from_state,to_state,value
2018,female,75-79,M,W,87059.0
2018,female,80+,M,W,174577.0
2018,male,15-19,M,W,0.0
2018,male,20-24,M,W,21.0
2018,male,25-29,M,W,78.0
2018,male,30-34,M,W,291.0
2018,male,35-39,M,W,568.0
2018,male,40-44,M,W,1228.0
2018,male,45-49,M,W,2113.0
2018,male,50-54,M,W,2900.0
2018,male,55-59,M,W,4307.0
2018,male,60-64,M,W,6631.0
2018,male,65-69,M,W,13061.0
2018,male,70-74,M,W,17285.0
2018,male,75-79,M,W,23182.0
2018,male,80+,M,W,76481.0
2017,female,15-19,M,W,7.0
2017,female,20-24,M,W,94.0
2017,female,25-29,M,W,292.0
2017,female,30-34,M,W,774.0
2017,female,35-39,M,W,1583.0
2017,female,40-44,M,W,2898.0
2017,female,45-49,M,W,5110.0
2017,female,50-54,M,W,7992.0
2017,female,55-59,M,W,13056.0
2017,female,60-64,M,W,24142.0
2017,female,65-69,M,W,51143.0
2017,female,70-74,M,W,63627.0
2017,female,75-79,M,W,86607.0
2017,female,80+,M,W,169229.0
2017,male,15-19,M,W,0.0
2017,male,20-24,M,W,9.0
2017,male,25-29,M,W,78.0
2017,male,30-34,M,W,298.0
2017,male,35-39,M,W,588.0
2017,male,40-44,M,W,1283.0
2017,male,45-49,M,W,2052.0
2017,male,50-54,M,W,2966.0
2017,male,55-59,M,W,4301.0
2017,male,60-64,M,W,7152.0
2017,male,65-69,M,W,14039.0
2017,male,70-74,M,W,16588.0
2017,male,75-79,M,W,22690.0
2017,male,80+,M,W,73386.0
2016,female,15-19,M,W,12.0
2016,female,20-24,M,W,81.0
2016,female,25-29,M,W,350.0
2016,female,30-34,M,W,896.0
2016,female,35-39,M,W,1551.0
2016,female,40-44,M,W,3162.0
2016,female,45-49,M,W,5222.0
2016,female,50-54,M,W,8417.0
2016,female,55-59,M,W,13944.0
2016,female,60-64,M,W,25704.0
2016,female,65-69,M,W,52081.0
2016,female,70-74,M,W,64506.0
2016,female,75-79,M,W,83648.0
2016,female,80+,M,W,160368.0
2016,male,15-19,M,W,0.0
2016,male,20-24,M,W,10.0
2016,male,25-29,M,W,93.0
2016,male,30-34,M,W,328.0
2016,male,35-39,M,W,678.0
2016,male,40-44,M,W,1348.0
2016,male,45-49,M,W,2108.0
2016,male,50-54,M,W,3028.0
2016,male,55-59,M,W,4531.0
2016,male,60-64,M,W,7680.0
2016,male,65-69,M,W,14695.0
2016,male,70-74,M,W,16461.0
2016,male,75-79,M,W,22652.0
2016,male,80+,M,W,71142.0
2015,female,15-19,M,W,9.0
2015,female,20-24,M,W,86.0
2015,female,25-29,M,W,386.0
2015,female,30-34,M,W,897.0
2015,female,35-39,M,W,1659.0
2015,female,40-44,M,W,3283.0
2015,female,45-49,M,W,5293.0
2015,female,50-54,M,W,8666.0
2015,female,55-59,M,W,14478.0
2015,female,60-64,M,W,27796.0
2015,female,65-69,M,W,50084.0
2015,female,70-74,M,W,67989.0
2015,female,75-79,M,W,84128.0
2015,female,80+,M,W,153557.0
2015,male,15-19,M,W,2.0
2015,male,20-24,M,W,8.0
2015,male,25-29,M,W,101.0
2015,male,30-34,M,W,341.0
2015,male,35-39,M,W,769.0
2015,male,40-44,M,W,1396.0
2015,male,45-49,M,W,1986.0
2015,male,50-54,M,W,3101.0
2015,male,55-59,M,W,4629.0
2015,male,60-64,M,W,8398.0
2015,male,65-69,M,W,14026.0
2015,male,70-74,M,W,17611.0
2015,male,75-79,M,W,22680.0
2015,male,80+,M,W,68840.0
