year,sex,age,state,value
1925,female,20-24,M,1667151.0
1925,female,20-24,W,16053.0
1925,female,20-24,V,67625.0
1925,female,25-29,S,166888.0
1925,female,25-29,M,1872364.0
1925,female,25-29,W,35823.0
1925,female,25-29,V,61894.0
1925,female,30-34,S,63522.0
1925,female,30-34,M,1623365.0
1925,female,30-34,W,61543.0
1925,female,30-34,V,47480.0
1925,female,35-39,S,38526.0
1925,female,35-39,M,1494736.0
1925,female,35-39,W,104744.0
1925,female,35-39,V,42833.0
1925,female,40-44,S,30218.0
1925,female,40-44,M,1356596.0
1925,female,40-44,W,167561.0
1925,female,40-44,V,43166.0
1925,female,45-49,S,27071.0
1925,female,45-49,M,1196833.0
1925,female,45-49,W,248057.0
1925,female,45-49,V,43700.0
1925,female,50-54,S,17549.0
1925,female,50-54,M,872605.0
1925,female,50-54,W,301912.0
1925,female,50-54,V,35006.0
1925,female,55-59,S,11280.0
1925,female,55-59,M,603571.0
1925,female,55-59,W,367973.0
1925,female,55-59,V,26758.0
1925,female,60-64,S,7099.0
1925,female,60-64,M,394040.0
1925,female,60-64,W,394592.0
1925,female,60-64,V,18610.0
1925,female,65-69,S,5040.0
1925,female,65-69,M,243889.0
1925,female,65-69,W,430818.0
1925,female,65-69,V,13118.0
1925,female,70-74,S,3101.0
1925,female,70-74,M,119212.0
1925,female,70-74,W,385201.0
1925,female,70-74,V,8111.0
1925,female,75-79,S,1770.0
1925,female,75-79,M,40990.0
1925,female,75-79,W,262809.0
1925,female,75-79,V,3813.0
1925,female,80+,S,886.0
1925,female,80+,M,9864.0
1925,female,80+,W,171441.0
1925,female,80+,V,1696.0
1930,male,15-19,S,3284332.0
1930,male,15-19,M,32448.0
1930,male,15-19,W,236.0
1930,male,15-19,V,1647.0
1930,male,20-24,S,2241331.0
1930,male,20-24,M,550652.0
1930,male,20-24,W,3980.0
1930,male,20-24,V,19443.0
1930,male,25-29,S,712235.0
1930,male,25-29,M,1704633.0
1930,male,25-29,W,18569.0
1930,male,25-29,V,45320.0
1930,male,30-34,S,175143.0
1930,male,30-34,M,1925559.0
1930,male,30-34,W,31471.0
1930,male,30-34,V,42867.0
1930,male,35-39,S,72716.0
1930,male,35-39,M,1708581.0
1930,male,35-39,W,40781.0
1930,male,35-39,V,34827.0
1930,male,40-44,S,41070.0
1930,male,40-44,M,1555423.0
1930,male,40-44,W,60907.0
1930,male,40-44,V,30534.0
1930,male,45-49,S,28168.0
1930,male,45-49,M,1376653.0
1930,male,45-49,W,91064.0
1930,male,45-49,V,29272.0
1930,male,50-54,S,21384.0
1930,male,50-54,M,1236367.0
1930,male,50-54,W,125182.0
1930,male,50-54,V,27643.0
1930,male,55-59,S,14904.0
1930,male,55-59,M,912810.0
1930,male,55-59,W,136759.0
1930,male,55-59,V,21393.0
1930,male,60-64,S,9653.0
1930,male,60-64,M,647384.0
1930,male,60-64,W,147695.0
1930,male,60-64,V,15583.0
1930,male,65-69,S,5776.0
1930,male,65-69,M,417466.0
1930,male,65-69,W,143871.0
1930,male,65-69,V,10080.0
1930,male,70-74,S,3813.0
1930,male,70-74,M,252843.0
1930,male,70-74,W,141104.0
1930,male,70-74,V,6224.0
1930,male,75-79,S,1939.0
1930,male,75-79,M,114593.0
1930,male,75-79,W,103009.0
1930,male,75-79,V,2910.0
1930,male,80+,S,833.0
1930,male,80+,M,42064.0
1930,male,80+,W,71149.0
1930,male,80+,V,1074.0
1930,female,15-19,S,2874890.0
1930,female,15-19,M,331686.0
1930,female,15-19,W,1403.0
1930,female,15-19,V,12962.0
1930,female,20-24,S,1022752.0
1930,female,20-24,M,1631559.0
1930,female,20-24,W,13291.0
1930,female,20-24,V,48498.0
1930,female,25-29,S,199056.0
1930,female,25-29,M,2062079.0
1930,female,25-29,W,37644.0
1930,female,25-29,V,56098.0
1930,female,30-34,S,76147.0
1930,female,30-34,M,1849491.0
1930,female,30-34,W,65318.0
1930,female,30-34,V,47669.0
1930,female,35-39,S,41617.0
1930,female,35-39,M,1541753.0
1930,female,35-39,W,104372.0
1930,female,35-39,V,40186.0
1930,female,40-44,S,28766.0
1930,female,40-44,M,1365391.0
1930,female,40-44,W,167193.0
1930,female,40-44,V,37194.0
1930,female,45-49,S,23656.0
1930,female,45-49,M,1205669.0
1930,female,45-49,W,254052.0
1930,female,45-49,V,37729.0
1930,female,50-54,S,19856.0
1930,female,50-54,M,1009603.0
1930,female,50-54,W,354876.0
1930,female,50-54,V,35783.0
1930,female,55-59,S,14971.0
1930,female,55-59,M,683996.0
1930,female,55-59,W,404448.0
1930,female,55-59,V,26822.0
1930,female,60-64,S,10212.0
1930,female,60-64,M,424526.0
1930,female,60-64,W,448862.0
1930,female,60-64,V,18170.0
1930,female,65-69,S,6556.0
1930,female,65-69,M,237718.0
1930,female,65-69,W,423568.0
1930,female,65-69,V,10795.0
1930,female,70-74,S,4456.0
1930,female,70-74,M,117442.0
1930,female,70-74,W,394154.0
1930,female,70-74,V,6565.0
1930,female,75-79,S,2512.0
1930,female,75-79,M,42778.0
1930,female,75-79,W,280737.0
1930,female,75-79,V,3240.0
1930,female,80+,S,1464.0
1930,female,80+,M,11609.0
1930,female,80+,W,200123.0
1930,female,80+,V,1410.0
1935,male,15-19,S,3331620.0
1935,male,15-19,M,18172.0
1935,male,15-19,W,150.0
1935,male,15-19,V,771.0
1935,male,20-24,S,2551542.0
1935,male,20-24,M,467842.0
1935,male,20-24,W,3329.0
1935,male,20-24,V,14070.0
1935,male,25-29,S,929932.0
1935,male,25-29,M,1682603.0
1935,male,25-29,W,17324.0
1935,male,25-29,V,40389.0
1935,male,30-34,S,211635.0
1935,male,30-34,M,2088167.0
1935,male,30-34,W,33062.0
1935,male,30-34,V,46628.0
1935,male,35-39,S,83884.0
1935,male,35-39,M,1921941.0
1935,male,35-39,W,46551.0
1935,male,35-39,V,41070.0
1935,male,40-44,S,42866.0
1935,male,40-44,M,1628488.0
1935,male,40-44,W,62676.0
1935,male,40-44,V,33597.0
1935,male,45-49,S,28773.0
1935,male,45-49,M,1442357.0
1935,male,45-49,W,90362.0
1935,male,45-49,V,29687.0
1935,male,50-54,S,20869.0
1935,male,50-54,M,1232611.0
1935,male,50-54,W,124041.0
1935,male,50-54,V,26855.0
1935,male,55-59,S,17631.0
1935,male,55-59,M,1053401.0
1935,male,55-59,W,160091.0
1935,male,55-59,V,23969.0
1935,male,60-64,S,11609.0
1935,male,60-64,M,724610.0
1935,male,60-64,W,163458.0
1935,male,60-64,V,17143.0
1935,male,65-69,S,6396.0
1935,male,65-69,M,456404.0
1935,male,65-69,W,156581.0
1935,male,65-69,V,10627.0
1935,male,70-74,S,3051.0
1935,male,70-74,M,252318.0
1935,male,70-74,W,132871.0
1935,male,70-74,V,5983.0
1935,male,75-79,S,1633.0
1935,male,75-79,M,118342.0
1935,male,75-79,W,101973.0
1935,male,75-79,V,2881.0
1935,male,80+,S,689.0
1935,male,80+,M,46562.0
1935,male,80+,W,76817.0
1935,male,80+,V,1191.0
1935,female,15-19,S,3042853.0
1935,female,15-19,M,238832.0
1935,female,15-19,W,1069.0
1935,female,15-19,V,7450.0
1935,female,20-24,S,1361566.0
1935,female,20-24,M,1618179.0
1935,female,20-24,W,13230.0
1935,female,20-24,V,41313.0
1935,female,25-29,S,284238.0
1935,female,25-29,M,2184395.0
1935,female,25-29,W,42112.0
1935,female,25-29,V,59090.0
1935,female,30-34,S,90175.0
1935,female,30-34,M,2031040.0
1935,female,30-34,W,77089.0
1935,female,30-34,V,54841.0
1935,female,35-39,S,47402.0
1935,female,35-39,M,1741422.0
1935,female,35-39,W,117405.0
1935,female,35-39,V,46171.0
1935,female,40-44,S,29370.0
1935,female,40-44,M,1401536.0
1935,female,40-44,W,168798.0
1935,female,40-44,V,38680.0
1935,female,45-49,S,22898.0
1935,female,45-49,M,1212227.0
1935,female,45-49,W,250927.0
1935,female,45-49,V,35603.0
1935,female,50-54,S,19543.0
1935,female,50-54,M,1018884.0
1935,female,50-54,W,356330.0
1935,female,50-54,V,33742.0
1935,female,55-59,S,17943.0
1935,female,55-59,M,802576.0
1935,female,55-59,W,464955.0
1935,female,55-59,V,30571.0
1935,female,60-64,S,13083.0
1935,female,60-64,M,491354.0
1935,female,60-64,W,488248.0
1935,female,60-64,V,21106.0
1935,female,65-69,S,7820.0
1935,female,65-69,M,259658.0
1935,female,65-69,W,476542.0
1935,female,65-69,V,13064.0
1935,female,70-74,S,3811.0
1935,female,70-74,M,118130.0
1935,female,70-74,W,390276.0
1935,female,70-74,V,6983.0
1935,female,75-79,S,2059.0
1935,female,75-79,M,42571.0
1935,female,75-79,W,288899.0
1935,female,75-79,V,3446.0
1935,female,80+,S,1167.0
1935,female,80+,M,12687.0
1935,female,80+,W,221721.0
1935,female,80+,V,1806.0
1940,male,15-19,S,3616141.0
1940,male,15-19,M,15580.0
1940,male,15-19,W,532.0
1940,male,15-19,V,0.0
1940,male,20-24,S,2681502.0
1940,male,20-24,M,264938.0
1940,male,20-24,W,6704.0
1940,male,20-24,V,0.0
1940,male,25-29,S,1148448.0
1940,male,25-29,M,1555320.0
1940,male,25-29,W,35726.0
1940,male,25-29,V,0.0
1940,male,30-34,S,250308.0
1940,male,30-34,M,2115860.0
1940,male,30-34,W,61860.0
1940,male,30-34,V,0.0
1940,male,35-39,S,97711.0
1940,male,35-39,M,2026516.0
1940,male,35-39,W,79186.0
1940,male,35-39,V,0.0
1940,male,40-44,S,52730.0
1940,male,40-44,M,1782897.0
1940,male,40-44,W,97300.0
1940,male,40-44,V,0.0
1940,male,45-49,S,31957.0
1940,male,45-49,M,1481245.0
1940,male,45-49,W,113953.0
