year,sex,age,state,value
2024,male,15-19,S,2732111.422381099
2024,male,15-19,M,5074.7817637466405
2024,male,15-19,W,337.9392789216036
2024,male,15-19,V,764.6765762325372
2024,male,20-24,S,2825718.617887898
2024,male,20-24,M,110050.22491286095
2024,male,20-24,W,705.2061230865897
2024,male,20-24,V,6145.5210761540275
2024,male,25-29,S,2355974.1516151614
2024,male,25-29,M,645794.6409528633
2024,male,25-29,W,794.4752473518035
2024,male,25-29,V,24755.182184624016
2024,male,30-34,S,1618168.4760569613
2024,male,30-34,M,1351263.938034615
2024,male,30-34,W,1144.3412551739111
2024,male,30-34,V,59143.25465324949
2024,male,35-39,S,1322670.6725259938
2024,male,35-39,M,1925974.5702783305
2024,male,35-39,W,3021.870013166411
2024,male,35-39,V,109161.92718250961
2024,male,40-44,S,1222471.7365114405
2024,male,40-44,M,2368771.873690042
2024,male,40-44,W,6474.466328617028
2024,male,40-44,V,160663.66346990058
2024,male,45-49,S,1393688.941987685
2024,male,45-49,M,2733081.560855276
2024,male,45-49,W,14533.66396616705
2024,male,45-49,V,242295.2331908724
2024,male,50-54,S,1463991.4828971513
2024,male,50-54,M,2992594.008807973
2024,male,50-54,W,27172.25812444494
2024,male,50-54,V,351651.99017043156
2024,male,55-59,S,1030449.2038286771
2024,male,55-59,M,2729452.8025625423
2024,male,55-59,W,41866.465273743954
2024,male,55-59,V,354336.0183350373
2024,male,60-64,S,712017.9295455542
2024,male,60-64,M,2585066.6143214745
2024,male,60-64,W,63836.49780999629
2024,male,60-64,V,318952.30832297547
2024,male,65-69,S,602631.8774139899
2024,male,65-69,M,2508746.3792541246
2024,male,65-69,W,115920.97004494387
2024,male,65-69,V,285023.0032869417
2024,male,70-74,S,487351.05206755025
2024,male,70-74,M,2920112.9386065938
2024,male,70-74,W,207086.48596661564
2024,male,70-74,V,301103.53335924004
2024,male,75-79,S,225518.5808644228
2024,male,75-79,M,2765721.8360053776
2024,male,75-79,W,300455.00442659145
2024,male,75-79,V,199515.43870360803
2024,male,80+,S,130968.74661313041
2024,male,80+,M,3452774.9501640764
2024,male,80+,W,973310.8370687357
2024,male,80+,V,148309.3361540576
